date, Urban Population, % of Total, Annual % Change
31/12/1960,3455253,29.357,
31/12/1961,3606271,29.849,4.2779
31/12/1962,3764224,30.345,4.2867
31/12/1963,3925674,30.846,4.1996
31/12/1964,4089765,31.353,4.0949
31/12/1965,4263735,31.862,4.1658
31/12/1966,4448115,32.377,4.2335
31/12/1967,4641545,32.896,4.2567
31/12/1968,4842439,33.419,4.2371
31/12/1969,5050140,33.946,4.1997
31/12/1970,5266138,34.477,4.1881
31/12/1971,5488936,35.012,4.1437
31/12/1972,5737053,35.675,4.4211
31/12/1973,5993751,36.349,4.3772
31/12/1974,6258783,37.029,4.3268
31/12/1975,6534073,37.714,4.3045
31/12/1976,6819390,38.405,4.274
31/12/1977,7118548,39.099,4.2934
31/12/1978,7434210,39.798,4.3389
31/12/1979,7763286,40.502,4.3313
31/12/1980,8109487,41.21,4.3629
31/12/1981,8471303,41.92,4.365
31/12/1982,8845176,42.634,4.3188
31/12/1983,9227441,43.347,4.231
31/12/1984,9613344,44.063,4.097
31/12/1985,10001424,44.779,3.9575
31/12/1986,10384666,45.498,3.7603
31/12/1987,10759753,46.219,3.5482
31/12/1988,11135157,46.943,3.4295
31/12/1989,11510435,47.666,3.3147
31/12/1990,11890063,48.391,3.2449
31/12/1991,12273397,49.117,3.1731
31/12/1992,12660713,49.844,3.107
31/12/1993,13050229,50.569,3.0302
31/12/1994,13440086,51.295,2.9436
31/12/1995,13749580,51.692,2.2767
31/12/1996,14045468,52.022,2.1292
31/12/1997,14342391,52.35,2.092
31/12/1998,14640178,52.678,2.055
31/12/1999,14935781,53.007,1.999
31/12/2000,15229497,53.335,1.9474
31/12/2001,15524469,53.662,1.9183
31/12/2002,15820051,53.99,1.8861
31/12/2003,16111112,54.317,1.8231
31/12/2004,16411301,54.644,1.8461
31/12/2005,16790498,55.174,2.2843
31/12/2006,17188176,55.746,2.3409
31/12/2007,17589282,56.317,2.3068
31/12/2008,17995882,56.886,2.2853
31/12/2009,18409274,57.452,2.2712
31/12/2010,18835465,58.018,2.2887
31/12/2011,19275316,58.581,2.3084
31/12/2012,19725140,59.142,2.3069
31/12/2013,20180706,59.7,2.2833
31/12/2014,20636838,60.256,2.2351
31/12/2015,21088840,60.809,2.1666
31/12/2016,21541817,61.36,2.1252
31/12/2017,21994745,61.908,2.0808
31/12/2018,22437808,62.453,1.9944
31/12/2019,22869599,62.994,1.9061
31/12/2020,23309111,63.532,1.9036
31/12/2021,23753114,64.065,1.8869
